User District,State,Total Enrollments,Total Completion,Total Certifications,Certification %
Middle And North Andamans,Andaman & Nicobar,651,341,338,51.9%
Nicobars,Andaman & Nicobar,248,125,125,50.4%
Andamans,Andaman & Nicobar Islands,3287,2194,2179,66.3%
Adilabad,Telangana,250,226,226,90.4%
Anantapur,Andhra Pradesh,2730,1351,1345,49.3%
Chittoor,Andhra Pradesh,5155,3010,2999,58.2%
East Godavari,Andhra Pradesh,7665,5481,5467,71.3%
Guntur,Andhra Pradesh,5033,3289,3273,65.0%
Hyderabad,Telangana,23877,19820,19787,82.9%
Jagtial,Telangana,1,1,1,100.0%
Jangaon,Telangana,7,1,1,14.3%
Kadapa,Andhra Pradesh,2783,1589,1584,56.9%
Kamareddy,Telangana,120,110,110,91.7%
Karimnagar,Telangana,611,498,498,81.5%
Khammam,Telangana,562,499,497,88.4%
Krishna,Andhra Pradesh,4411,3053,3047,69.1%
Kurnool,Andhra Pradesh,2695,1327,1322,49.1%
Mancherial,Telangana,189,165,164,86.8%
Medak,Telangana,317,266,266,83.9%
Nagarkurnool,Telangana,218,201,201,92.2%
Nalgonda,Telangana,779,690,690,88.6%
Narayanpet,Telangana,2,2,2,100.0%
Nellore,Andhra Pradesh,2420,1294,1287,53.2%
Nirmal,Telangana,3,0,0,0.0%
Nizamabad,Telangana,476,413,412,86.6%
Prakasam,Andhra Pradesh,3890,2593,2590,66.6%
Sangareddy,Telangana,769,649,646,84.0%
Siddipet,Telangana,294,255,254,86.4%
Srikakulam,Andhra Pradesh,3306,2092,2085,63.1%
Suryapet,Telangana,25,20,20,80.0%
Visakhapatnam,Andhra Pradesh,16441,13552,13533,82.3%
Vizianagaram,Andhra Pradesh,2139,1225,1220,57.0%
West Godavari,Andhra Pradesh,3419,1962,1953,57.1%
Anjaw,Arunachal Pradesh,242,222,221,91.3%
Changlang,Arunachal Pradesh,803,618,617,76.8%
Dibang Valley,Arunachal Pradesh,92,68,68,73.9%
East Kameng,Arunachal Pradesh,305,149,149,48.9%
East Siang,Arunachal Pradesh,1035,738,736,71.1%
Kamle,Arunachal Pradesh,201,112,111,55.2%
Kra Dadi,Arunachal Pradesh,130,71,70,53.8%
Kurung Kumey,Arunachal Pradesh,109,85,85,78.0%
Lepa Rada,Arunachal Pradesh,13,11,11,84.6%
Lohit,Arunachal Pradesh,340,301,301,88.5%
Longding,Arunachal Pradesh,388,289,289,74.5%
Lower Dibang Valley,Arunachal Pradesh,419,358,358,85.4%
Lower Siang,Arunachal Pradesh,91,42,42,46.2%
Lower Subansiri,Arunachal Pradesh,434,342,341,78.6%
Namsai,Arunachal Pradesh,1088,844,842,77.4%
Pakke Kessang,Arunachal Pradesh,89,45,44,49.4%
Papum Pare,Arunachal Pradesh,3573,2911,2908,81.4%
Shi Yomi,Arunachal Pradesh,25,14,14,56.0%
Siang,Arunachal Pradesh,199,100,98,49.2%
Tawang,Arunachal Pradesh,385,341,341,88.6%
Tirap,Arunachal Pradesh,616,537,537,87.2%
Upper Siang,Arunachal Pradesh,293,257,257,87.7%
Upper Subansiri,Arunachal Pradesh,850,537,536,63.1%
West Kameng,Arunachal Pradesh,977,795,795,81.4%
West Siang,Arunachal Pradesh,473,384,382,80.8%
Baksa,Assam,513,471,471,91.8%
Barpeta,Assam,715,621,621,86.9%
Biswanath,Assam,202,181,181,89.6%
Bongaigaon,Assam,1366,1247,1246,91.2%
Cachar,Assam,3328,2973,2972,89.3%
Charaideo,Assam,6,2,2,33.3%
Chirang,Assam,357,317,317,88.8%
Darrang,Assam,921,825,824,89.5%
Dhemaji,Assam,449,404,404,90.0%
Dhubri,Assam,687,622,621,90.4%
Dibrugarh,Assam,3324,2985,2981,89.7%
Dima Hasao,Assam,516,468,468,90.7%
Goalpara,Assam,1015,947,946,93.2%
Golaghat,Assam,613,548,548,89.4%
Hailakandi,Assam,485,435,435,89.7%
Hojai,Assam,691,598,597,86.4%
Jorhat,Assam,2737,2475,2472,90.3%
Kamrup Metropolitan,Assam,10895,9775,9762,89.6%
Kamrup Rural,Assam,1301,1161,1161,89.2%
Karbi Anglong,Assam,1187,1061,1061,89.4%
Karimganj,Assam,623,571,571,91.7%
Kokrajhar,Assam,605,558,558,92.2%
Lakhimpur,Assam,587,516,516,87.9%
Majuli,Assam,6,3,3,50.0%
Morigaon,Assam,677,614,614,90.7%
Nagaon,Assam,1665,1514,1513,90.9%
Nalbari,Assam,348,303,303,87.1%
Sivasagar,Assam,1465,1314,1312,89.6%
Sonitpur,Assam,3477,3205,3201,92.1%
South Salmara-Mankachar,Assam,13,3,3,23.1%
Tinsukia,Assam,1947,1699,1699,87.3%
Udalguri,Assam,477,424,424,88.9%
West Karbi Anglong,Assam,175,153,153,87.4%
Araria,Bihar,9319,5335,5334,57.2%
Arwal,Bihar,1850,1118,1118,60.4%
Aurangabad,Bihar,9141,5236,5236,57.3%
Banka,Bihar,5836,3642,3642,62.4%
Begusarai,Bihar,11784,7476,7463,63.3%
Bhagalpur,Bihar,17490,12712,12712,72.7%
Bhojpur,Bihar,7748,4551,4551,58.7%
Buxar,Bihar,6180,3889,3887,62.9%
Darbhanga,Bihar,11874,6964,6963,58.6%
Gaya,Bihar,14346,8460,8456,58.9%
Gopalganj,Bihar,8295,4619,4619,55.7%
Jamui,Bihar,7901,5193,5193,65.7%
Jehanabad,Bihar,4199,2400,2400,57.2%
Kaimur (Bhabua),Bihar,4924,2728,2728,55.4%
Katihar,Bihar,7817,4292,4292,54.9%
Khagaria,Bihar,4970,2866,2866,57.7%
Kishanganj,Bihar,5471,3061,3060,55.9%
Lakhisarai,Bihar,4778,3107,3107,65.0%
Madhepura,Bihar,7462,4289,4288,57.5%
Madhubani,Bihar,12805,6679,6671,52.1%
Munger,Bihar,6920,4632,4631,66.9%
Muzaffarpur,Bihar,15493,10279,10277,66.3%
Nalanda,Bihar,10815,6239,6238,57.7%
Nawada,Bihar,7912,4289,4288,54.2%
Pashchim Champaran,Bihar,8088,4472,4471,55.3%
Patna,Bihar,28923,21606,21599,74.7%
Purba Champaran,Bihar,11857,6562,6562,55.3%
