User District,State,Total Enrollments,Total Completion,Total Certifications,Certification %
Middle And North Andamans,Andaman & Nicobar,"6,330","5,282","5,021",79.3%
Nicobars,Andaman & Nicobar,"1,362","1,079",967,71.0%
Andamans,Andaman & Nicobar Islands,"10,080","7,901","7,339",72.8%
Anantapur,Andhra Pradesh,"35,810","22,309","15,571",43.5%
Chittoor,Andhra Pradesh,"44,758","28,698","19,860",44.4%
East Godavari,Andhra Pradesh,"46,306","29,921","21,030",45.4%
Guntur,Andhra Pradesh,"39,100","25,721","19,025",48.7%
Kadapa,Andhra Pradesh,"27,265","18,040","13,372",49.0%
Krishna,Andhra Pradesh,"30,794","20,360","15,611",50.7%
Kurnool,Andhra Pradesh,"20,531","12,187","8,212",40.0%
Nellore,Andhra Pradesh,"24,445","15,161","11,239",46.0%
Prakasam,Andhra Pradesh,"37,068","23,860","17,993",48.5%
Srikakulam,Andhra Pradesh,"23,268","13,200","8,822",37.9%
Visakhapatnam,Andhra Pradesh,"34,203","20,612","14,161",41.4%
Vizianagaram,Andhra Pradesh,"17,777","10,555","7,219",40.6%
West Godavari,Andhra Pradesh,"29,121","18,008","12,484",42.9%
Anjaw,Arunachal Pradesh,527,412,350,66.4%
Changlang,Arunachal Pradesh,"3,034","2,392","1,942",64.0%
Dibang Valley,Arunachal Pradesh,501,395,228,45.5%
East Kameng,Arunachal Pradesh,816,614,411,50.4%
East Siang,Arunachal Pradesh,"1,609","1,059",693,43.1%
Kamle,Arunachal Pradesh,842,629,498,59.1%
Kra Dadi,Arunachal Pradesh,937,725,491,52.4%
Kurung Kumey,Arunachal Pradesh,123,73,28,22.8%
Lepa Rada,Arunachal Pradesh,236,189,124,52.5%
Lohit,Arunachal Pradesh,"1,233",985,841,68.2%
Longding,Arunachal Pradesh,757,612,480,63.4%
Lower Dibang Valley,Arunachal Pradesh,"1,091",839,652,59.8%
Lower Siang,Arunachal Pradesh,397,287,211,53.1%
Lower Subansiri,Arunachal Pradesh,455,307,153,33.6%
Namsai,Arunachal Pradesh,"1,109",739,454,40.9%
Pakke Kessang,Arunachal Pradesh,367,248,163,44.4%
Papum Pare,Arunachal Pradesh,778,583,439,56.4%
Shi Yomi,Arunachal Pradesh,34,20,14,41.2%
Siang,Arunachal Pradesh,300,171,108,36.0%
Tawang,Arunachal Pradesh,"1,364","1,128",992,72.7%
Tirap,Arunachal Pradesh,741,511,396,53.4%
Upper Siang,Arunachal Pradesh,41,30,25,61.0%
Upper Subansiri,Arunachal Pradesh,87,64,57,65.5%
West Kameng,Arunachal Pradesh,"2,768","2,078","1,606",58.0%
West Siang,Arunachal Pradesh,372,278,193,51.9%
Baksa,Assam,"11,265","7,412","7,380",65.5%
Barpeta,Assam,"9,211","5,925","5,900",64.1%
Biswanath,Assam,"5,428","3,617","3,610",66.5%
Bongaigaon,Assam,"5,770","3,857","3,842",66.6%
Cachar,Assam,"28,335","22,524","22,391",79.0%
Charaideo,Assam,"10,380","7,974","7,970",76.8%
Chirang,Assam,"4,215","2,808","2,799",66.4%
Darrang,Assam,"8,406","5,944","5,921",70.4%
Dhemaji,Assam,"6,863","4,226","4,219",61.5%
Dhubri,Assam,"5,283","3,501","3,483",65.9%
Dibrugarh,Assam,"11,490","7,940","7,864",68.4%
Dima Hasao,Assam,"1,163",780,778,66.9%
Goalpara,Assam,"3,557","2,328","2,318",65.2%
Golaghat,Assam,"9,828","6,316","6,294",64.0%
Hailakandi,Assam,"8,506","6,710","6,692",78.7%
Hojai,Assam,"1,674","1,050","1,035",61.8%
Jorhat,Assam,"9,515","6,706","6,645",69.8%
Kamrup Metropolitan,Assam,"9,988","7,391","7,229",72.4%
Kamrup Rural,Assam,"10,300","6,555","6,534",63.4%
Karbi Anglong,Assam,"2,378","1,588","1,554",65.3%
Karimganj,Assam,"1,982","1,107","1,097",55.3%
Kokrajhar,Assam,"6,194","4,206","4,182",67.5%
Lakhimpur,Assam,"15,053","10,401","10,369",68.9%
Majuli,Assam,"2,633","1,713","1,711",65.0%
Morigaon,Assam,"10,099","7,276","7,255",71.8%
Nagaon,Assam,"20,139","14,214","14,184",70.4%
Nalbari,Assam,"6,661","4,341","4,329",65.0%
Sivasagar,Assam,"19,394","14,591","14,558",75.1%
Sonitpur,Assam,"10,503","7,379","7,312",69.6%
South Salmara-Mankachar,Assam,"4,791","3,906","3,896",81.3%
Tinsukia,Assam,"15,528","10,999","10,957",70.6%
Udalguri,Assam,"4,355","2,739","2,730",62.7%
West Karbi Anglong,Assam,"1,548",996,990,64.0%
Aurangabad (Bihar),Bihar,"42,322","37,671","33,252",78.6%
Araria,Bihar,"42,513","37,661","32,856",77.3%
Arwal,Bihar,"15,066","13,538","12,204",81.0%
Aurangabad,Bihar,"58,650","39,591","34,366",58.6%
Banka,Bihar,"31,250","28,199","25,098",80.3%
Begusarai,Bihar,"76,647","72,130","68,481",89.3%
Bhagalpur,Bihar,"55,988","51,452","47,399",84.7%
Bhojpur,Bihar,"56,452","51,835","46,962",83.2%
Buxar,Bihar,"35,267","32,300","29,626",84.0%
Darbhanga,Bihar,"69,398","63,210","56,877",82.0%
Gaya,Bihar,"72,682","65,209","57,096",78.6%
Gopalganj,Bihar,"54,968","49,623","44,729",81.4%
Jamui,Bihar,"25,370","22,595","20,136",79.4%
Jehanabad,Bihar,"29,310","26,965","24,434",83.4%
Kaimur (Bhabua),Bihar,"26,364","23,670","21,666",82.2%
