User District,State,Total Enrollments,Total Completion,Total Certifications,Certification %
Middle And North Andamans,Andaman & Nicobar,9960,8585,7936,79.7%
Nicobars,Andaman & Nicobar,3040,2346,2026,66.6%
Andamans,Andaman & Nicobar Islands,22508,17991,15777,70.1%
Anantapur,Andhra Pradesh,84070,61293,52787,62.8%
Chittoor,Andhra Pradesh,99328,71458,61436,61.9%
East Godavari,Andhra Pradesh,84679,57995,48232,57.0%
Guntur,Andhra Pradesh,45318,30977,26267,58.0%
Kadapa,Andhra Pradesh,37188,26272,22193,59.7%
Krishna,Andhra Pradesh,70414,54601,47551,67.5%
Kurnool,Andhra Pradesh,37432,24422,20217,54.0%
Nellore,Andhra Pradesh,39785,27603,23505,59.1%
Prakasam,Andhra Pradesh,39775,27806,23980,60.3%
Srikakulam,Andhra Pradesh,30675,19573,15571,50.8%
Visakhapatnam,Andhra Pradesh,75038,54125,45456,60.6%
Vizianagaram,Andhra Pradesh,27634,18605,15415,55.8%
West Godavari,Andhra Pradesh,59456,42652,36059,60.6%
Anjaw,Arunachal Pradesh,385,257,205,53.2%
Changlang,Arunachal Pradesh,3419,2850,2460,72.0%
Dibang Valley,Arunachal Pradesh,261,186,107,41.0%
East Kameng,Arunachal Pradesh,1323,1041,910,68.8%
East Siang,Arunachal Pradesh,2295,1724,1454,63.4%
Kamle,Arunachal Pradesh,1054,779,624,59.2%
Kra Dadi,Arunachal Pradesh,823,598,411,49.9%
Kurung Kumey,Arunachal Pradesh,393,280,234,59.5%
Lepa Rada,Arunachal Pradesh,311,235,192,61.7%
Lohit,Arunachal Pradesh,1038,818,652,62.8%
Longding,Arunachal Pradesh,462,367,275,59.5%
Lower Dibang Valley,Arunachal Pradesh,1773,1430,1209,68.2%
Lower Siang,Arunachal Pradesh,260,165,111,42.7%
Lower Subansiri,Arunachal Pradesh,820,569,383,46.7%
Namsai,Arunachal Pradesh,1911,1334,1147,60.0%
Pakke Kessang,Arunachal Pradesh,460,328,265,57.6%
Papum Pare,Arunachal Pradesh,2318,1764,1479,63.8%
Shi Yomi,Arunachal Pradesh,22,12,9,40.9%
Siang,Arunachal Pradesh,495,324,269,54.3%
Tawang,Arunachal Pradesh,1914,1592,1416,74.0%
Tirap,Arunachal Pradesh,1188,852,729,61.4%
Upper Siang,Arunachal Pradesh,261,179,169,64.8%
Upper Subansiri,Arunachal Pradesh,210,146,134,63.8%
West Kameng,Arunachal Pradesh,3866,3212,2754,71.2%
West Siang,Arunachal Pradesh,643,461,350,54.4%
Baksa,Assam,44693,35808,33658,75.3%
Barpeta,Assam,43290,35306,33351,77.0%
Biswanath,Assam,18356,15471,14796,80.6%
Bongaigaon,Assam,15694,13208,12413,79.1%
Cachar,Assam,34509,29397,27329,79.2%
Charaideo,Assam,13901,11757,11219,80.7%
Chirang,Assam,13836,11200,10498,75.9%
Darrang,Assam,21693,17292,15962,73.6%
Dhemaji,Assam,29084,23929,22507,77.4%
Dhubri,Assam,20324,16474,15444,76.0%
Dibrugarh,Assam,30418,26067,24764,81.4%
Dima Hasao,Assam,8299,7149,6748,81.3%
Goalpara,Assam,14021,11300,10482,74.8%
Golaghat,Assam,31515,26762,25805,81.9%
